aiohappyeyeballs                         2.3.4     2.6.1       
aiohttp                                  3.10.1    3.12.13     
aiosignal                                1.3.1     1.4.0       
anyio                                    4.8.0     4.9.0       
attrs                                    24.1.0    25.3.0      
azure-core                           (!) 1.32.0    1.35.0      
blis                                     0.7.11    1.3.0       
cachetools                               5.5.0     6.1.0       
certifi                                  2024.7.4  2025.6.15   
charset-normalizer                       3.3.2     3.4.2       
click                                    8.1.8     8.2.1       
cloudpathlib                             0.20.0    0.21.1      
cymem                                    2.0.10    2.0.11      
deprecated                               1.2.15    1.2.18      
filelock                                 3.16.1    3.18.0      
frozenlist                               1.4.1     1.7.0       
fsspec                                   2024.6.1  2025.5.1    
google-api-core                          2.23.0    2.25.1      
google-api-python-client                 2.157.0   2.176.0     
google-auth                              2.36.0    2.40.3      
google-cloud-monitoring                  2.23.1    2.27.2      
google-cloud-trace                       1.14.1    1.16.2      
googleapis-common-protos                 1.66.0    1.70.0      
grpcio                                   1.68.1    1.73.1      
grpcio-status                            1.68.1    1.73.1      
h11                                      0.14.0    0.16.0      
httpcore                                 1.0.5     1.0.9       
huggingface-hub                          0.26.3    0.33.2      
idna                                     3.7       3.10        
importlib-metadata                       8.5.0     8.7.0       
iniconfig                                2.0.0     2.1.0       
jinja2                                   3.1.4     3.1.6       
jiter                                    0.8.2     0.10.0      
joblib                                   1.4.2     1.5.1       
jsonschema                               4.23.0    4.24.0      
litellm                                  1.70.2    1.74.0.post1
multidict                                6.0.5     6.6.3       
murmurhash                               1.0.11    1.0.13      
networkx                                 3.4.2     3.5         
numpy                                    1.26.0    2.3.1       
openai                                   1.75.0    1.93.2      
opentelemetry-api                        1.28.1    1.34.1      
opentelemetry-exporter-gcp-monitoring    1.7.0a0   1.9.0a0     
opentelemetry-exporter-otlp              1.28.1    1.34.1      
opentelemetry-exporter-otlp-proto-common 1.28.1    1.34.1      
opentelemetry-exporter-otlp-proto-grpc   1.28.1    1.34.1      
opentelemetry-exporter-otlp-proto-http   1.28.1    1.34.1      
opentelemetry-instrumentation            0.49b1    0.55b1      
opentelemetry-instrumentation-asyncio    0.49b1    0.55b1      
opentelemetry-instrumentation-logging    0.49b1    0.55b1      
opentelemetry-instrumentation-threading  0.49b1    0.55b1      
opentelemetry-propagator-gcp             1.7.0     1.9.0       
opentelemetry-proto                      1.28.1    1.34.1      
opentelemetry-resourcedetector-gcp       1.7.0a0   1.9.0a0     
opentelemetry-sdk                        1.28.1    1.34.1      
opentelemetry-semantic-conventions       0.49b1    0.55b1      
packaging                                24.2      25.0        
pandas                                   2.2.3     2.3.1       
phonenumbers                             8.13.51   9.0.9       
pillow                                   11.0.0    11.3.0      
pluggy                                   1.5.0     1.6.0       
preshed                                  3.0.9     3.0.10      
presidio-analyzer                        2.2.355   2.2.358     
presidio-anonymizer                      2.2.355   2.2.358     
proto-plus                               1.25.0    1.26.1      
protobuf                                 5.29.1    6.31.1      
pyasn1-modules                           0.4.1     0.4.2       
pycryptodome                         (!) 3.21.0    3.23.0      
pydantic                                 2.8.2     2.11.7      
pydantic-core                            2.20.1    2.35.2      
pygments                                 2.18.0    2.19.2      
pyparsing                                3.2.0     3.2.3       
pytest                                   8.3.4     8.4.1       
pytest-asyncio                           0.24.0    1.0.0       
python-dotenv                            1.0.1     1.1.1       
pytz                                     2024.2    2025.2      
regex                                    2024.7.24 2024.11.6   
requests                                 2.32.3    2.32.4      
rich                                     13.9.4    14.0.0      
rpds-py                                  0.25.1    0.26.0      
rsa                                      4.9       4.9.1       
safetensors                              0.4.5     0.5.3       
scikit-learn                             1.5.2     1.7.0       
scipy                                    1.14.1    1.16.0      
sentence-transformers                    3.3.1     5.0.0       
setuptools                               75.6.0    80.9.0      
smart-open                               7.0.5     7.3.0.post1 
spacy                                    3.7.5     3.8.7       
srsly                                    2.4.8     2.5.1       
sympy                                    1.13.1    1.14.0      
thinc                                    8.2.5     9.1.1       
threadpoolctl                            3.5.0     3.6.0       
tiktoken                                 0.7.0     0.9.0       
tldextract                               5.1.3     5.3.0       
tokenizers                               0.21.1    0.21.2      
torch                                    2.6.0     2.7.1       
tqdm                                     4.66.5    4.67.1      
transformers                             4.48.0    4.53.1      
typer                                    0.15.1    0.16.0      
typing-extensions                        4.12.2    4.14.1      
tzdata                                   2024.2    2025.2      
uritemplate                              4.1.1     4.2.0       
urllib3                                  2.2.2     2.5.0       
wrapt                                    1.17.0    1.17.2      
yarl                                     1.9.4     1.20.1      
zipp                                     3.21.0    3.23.0      
